X-Ray Fluorescence (XRF) Data Set from 29 Boreholes,,,,,,,,,,,,
,,,,,,,,,,,,
No.,Drill ID,Depth,Ni,Co,Fe2O3,SiO2,MgO,Cr2O3,Al2O3,MnO,CaO,Laterite Horizon
,,8,0.397,0.064,43.201,4.396,1.414,2.938,,,10.018,Limonite
,,9,0.475,0.071,43.666,6.169,1.503,2.716,,,10.818,Limonite
,,10,0.784,0.090,52.206,1.352,1.806,2.797,,,7.912,Limonite
,,11,0.673,0.086,52.101,0.696,1.190,2.976,,,8.164,Limonite
,,12,0.906,0.088,53.195,1.153,1.486,2.510,,,7.584,Limonite
,,13,0.808,0.088,52.888,1.055,1.202,2.502,,,7.798,Limonite
,,14,0.868,0.086,52.389,1.145,1.292,2.608,,,7.476,Limonite
,,15,0.830,0.093,51.736,0.997,1.154,2.563,,,8.149,Limonite
,,16,0.920,0.099,51.234,1.043,1.421,2.611,,,7.797,Limonite
,,17,0.983,0.100,51.559,0.977,1.094,2.541,,,7.811,Limonite
,,18,1.051,0.106,51.243,0.958,0.981,2.586,,,7.592,Limonite
,,19,1.181,0.110,51.261,1.229,1.287,2.630,,,7.016,Limonite
,,20,1.219,0.101,51.515,1.437,1.112,2.988,,,6.721,Limonite
,,21,1.462,0.104,51.211,2.104,1.661,3.145,,,6.063,Limonite
,,22,1.517,0.106,50.854,2.287,1.961,3.206,,,5.980,Limonite
,,23,1.602,0.128,50.077,1.674,1.169,3.215,,,5.912,Limonite
,,24,1.627,0.124,48.432,1.747,1.248,3.720,,,6.089,Limonite
,,25,1.369,0.131,50.085,1.461,1.181,3.159,,,6.051,Limonite
,,26,1.324,0.099,51.761,1.679,1.127,3.334,,,6.423,Limonite
,,27,1.544,0.144,46.957,1.554,1.425,3.476,,,6.025,Limonite
,,28,0.945,0.145,45.462,1.663,1.457,5.664,,,5.653,Limonite
,,29,1.191,0.163,49.166,1.891,1.062,3.724,,,4.898,Limonite
,,30,1.607,0.179,44.324,1.611,1.110,2.421,,,5.215,Limonite
,,31,1.298,0.150,49.303,1.945,1.406,3.447,,,5.045,Limonite
,,32,1.229,0.110,48.930,2.302,1.395,4.988,,,5.678,Limonite
,,33,1.457,0.109,46.297,4.728,1.136,3.290,,,5.392,Limonite
,,34,1.515,0.110,35.787,15.304,1.523,2.280,,,5.196,Saprolite
,,35,2.321,0.092,36.192,15.622,2.977,2.872,,,5.123,Saprolite
,,36,1.693,0.095,35.416,14.385,4.912,2.991,4.782,,,Saprolite
,,37,0.618,0.006,7.861,33.266,26.078,0.488,1.850,,,Bedrock
,,38,1.039,0.015,10.611,32.303,21.652,0.801,2.412,,,Bedrock
,,39,0.707,0.008,8.789,33.396,26.482,0.570,1.821,,,Bedrock
29,DDG 031,1,0.673,0.086,49.671,3.943,1.964,3.024,6.342,,,Limonite
,,2,0.325,0.075,54.643,0.195,1.232,2.853,7.325,,,Limonite
,,3,0.310,0.072,52.543,0.454,1.084,2.816,8.112,,,Limonite
,,4,0.403,0.075,50.937,0.441,1.088,2.643,9.578,,,Limonite
,,5,0.229,0.058,43.273,0.403,1.029,2.169,13.042,,,Limonite
,,6,0.200,0.059,47.535,0.438,1.244,1.770,10.310,,,Limonite
,,7,0.122,0.054,45.833,0.681,1.203,1.786,9.543,,,Limonite
,,8,0.229,0.052,40.056,1.083,1.739,2.004,13.362,,,Limonite
,,9,0.541,0.083,52.801,0.847,2.064,2.870,8.432,,,Limonite
,,10,0.488,0.059,40.464,1.058,1.533,2.151,12.147,,,Limonite
,,11,0.668,0.084,52.434,0.564,0.993,2.938,8.071,,,Limonite
,,12,0.758,0.085,52.243,2.431,3.647,2.579,8.384,,,Limonite
,,13,0.715,0.085,52.151,1.744,2.648,2.789,7.940,,,Limonite
,,14,0.736,0.084,51.480,1.691,2.220,2.700,8.268,,,Limonite
,,15,0.790,0.084,51.597,1.910,2.350,2.640,8.606,,,Limonite
,,16,0.832,0.082,51.399,2.501,3.199,2.714,8.659,,,Limonite
,,17,0.817,0.089,50.925,2.178,2.638,2.723,8.152,,,Limonite
,,18,0.821,0.094,50.846,1.250,1.218,2.494,7.844,,,Limonite
,,19,0.843,0.001,48.138,1.967,0.435,5.234,7.049,0.452,0.060,Limonite
,,20,0.824,0.001,48.928,2.179,0.463,6.091,6.390,0.552,0.059,Limonite
,,21,0.849,0.001,48.867,2.092,0.431,6.242,5.965,0.457,0.065,Limonite
,,22,0.784,0.001,48.852,1.994,0.465,6.175,6.424,0.457,0.056,Limonite
,,23,0.966,0.001,50.993,2.545,0.404,5.528,5.186,0.336,0.055,Limonite
,,24,1.262,0.001,50.689,2.430,0.446,5.022,5.171,0.330,0.051,Limonite
,,25,1.255,0.001,51.177,2.791,0.430,6.066,4.296,0.427,0.055,Limonite
,,26,1.180,0.001,52.256,3.804,0.535,8.846,3.201,0.485,0.072,Limonite
,,27,1.098,0.279,45.734,2.066,0.537,3.736,7.597,1.944,0.079,Limonite
,,28,1.333,0.300,45.541,1.823,0.652,3.285,7.736,1.934,0.069,Limonite
,,29,1.694,0.133,47.754,2.409,0.553,5.360,5.660,1.473,0.074,Limonite
,,30,1.452,0.397,44.786,2.327,0.867,4.550,7.835,2.924,0.079,Limonite
,,31,1.692,0.001,49.753,3.408,0.651,7.934,4.189,0.981,0.085,Limonite
,,32,1.603,0.188,46.664,3.077,0.454,6.509,5.753,2.081,0.095,Limonite
,,33,2.132,0.383,43.497,2.722,0.930,5.387,8.229,3.156,0.092,Limonite
,,34,2.107,0.610,42.433,1.679,1.065,3.383,9.028,3.826,0.086,Limonite
,,35,1.433,0.175,44.010,6.409,0.911,4.936,5.680,1.666,0.087,Limonite
,,36,1.341,0.329,39.313,9.521,2.784,3.574,7.463,2.404,0.099,Limonite
,,37,1.004,0.138,36.109,19.287,1.410,4.488,5.774,1.617,0.087,Limonite
,,38,1.129,0.069,45.680,8.158,1.378,7.156,5.381,1.525,0.102,Limonite
,,39,1.394,0.122,43.788,9.578,1.928,5.677,6.067,1.587,0.099,Limonite
,,40,1.761,0.092,34.416,21.693,3.673,4.289,4.653,1.242,0.182,Saprolite
,,41,0.979,0.078,18.277,46.646,5.261,1.211,3.898,0.984,0.589,Saprolite
,,42,0.206,0.015,5.905,33.281,37.167,0.729,1.116,0.125,1.382,Bedrock
,,43,0.197,0.014,5.549,33.771,36.836,0.687,1.073,0.123,1.467,Bedrock
