X-Ray Fluorescence (XRF) Data Set from 29 Boreholes,,,,,,,,,,,,
,,,,,,,,,,,,
No.,Drill ID,Depth,Ni,Co,Fe2O3,SiO2,MgO,Cr2O3,Al2O3,MnO,CaO,Laterite Horizon
,,34,0.872,0.080,33.565,21.088,1.739,1.912,,,3.762,Saprolite
,,35,1.005,0.071,27.961,30.046,2.142,1.919,,,5.306,Saprolite
,,36,0.648,0.049,19.913,41.793,2.613,1.423,,,4.892,Saprolite
,,37,0.319,0.026,12.440,58.390,2.058,0.808,,,3.760,Saprolite
,,38,0.670,0.062,23.465,35.044,2.351,1.977,,,4.997,Saprolite
,,39,0.608,0.058,23.756,37.112,2.122,1.325,,,4.453,Saprolite
,,40,0.528,0.046,20.375,40.432,2.226,1.200,,,4.404,Saprolite
,,41,0.633,0.065,20.484,42.587,2.223,1.285,,,4.305,Saprolite
,,42,1.299,0.105,39.456,13.147,1.632,4.118,,,5.516,Saprolite
,,43,1.178,0.104,37.864,14.824,1.688,3.629,,,6.659,Saprolite
,,44,0.584,0.056,21.155,39.707,2.059,1.567,,,4.001,Saprolite
,,45,0.473,0.054,15.857,50.191,1.856,1.576,,,3.329,Saprolite
,,46,0.588,0.038,15.597,50.623,2.710,0.923,,,3.206,Saprolite
,,47,1.405,0.073,27.759,25.443,3.833,2.808,,,4.060,Saprolite
,,48,1.806,0.015,10.266,35.290,19.149,0.612,,,1.390,Saprolite
,,49,1.180,0.010,9.235,35.029,23.939,0.546,,,1.355,Saprolite
,,50,0.856,0.009,9.047,36.334,25.161,0.513,,,1.520,Saprolite
,,51,0.476,0.005,7.867,36.249,31.337,0.427,,,1.612,Saprolite
,,52,0.349,0.011,9.697,43.065,18.600,0.636,,,2.117,Saprolite
,,53,0.316,0.003,7.493,33.621,30.725,0.484,,,1.451,Bedrock
,,54,0.392,0.005,7.971,33.952,29.323,0.494,,,1.565,Bedrock
,,55,0.251,0.002,7.188,34.271,31.676,0.494,,,1.474,Bedrock
